,Hbond,atom1,atom2,bond_length,crystal
213,FH,F38,H138,2.8362499723900596,Rb
214,FH,F39,H139,2.8362504208534145,Rb
215,FH,F40,H140,2.836249972390059,Rb
216,NH,N49,H87,2.643374611983566,K
217,NH,N49,H89,3.4358949929055966,K
218,NH,N49,H91,2.622229440159703,K
219,NH,N49,H93,2.1485328941268045,K
220,NH,N49,H95,2.2003457315328743,K
221,NH,N50,H88,2.643374488020794,K
222,NH,N50,H90,3.4358948215671234,K
223,NH,N50,H92,2.622229276539711,K
224,NH,N50,H94,2.1485330203649653,K
225,NH,N50,H96,2.200345404350927,K
226,NH,N51,H87,2.793132976253152,K
227,NH,N51,H105,2.7670974903801686,K
228,NH,N51,H109,2.7360810113550103,K
229,NH,N51,H111,2.1244771307090495,K
230,NH,N51,H113,2.2058788332880734,K
231,NH,N52,H88,2.7931331557428276,K
232,NH,N52,H106,2.76709698172863,K
233,NH,N52,H110,2.7360804601850552,K
234,NH,N52,H112,2.12447733234,K
235,NH,N52,H114,2.2058788879150457,K
236,NH,N53,H97,2.879960442371737,K
237,NH,N53,H101,3.2477795540165526,K
238,NH,N53,H125,2.7519298857050494,K
239,NH,N53,H127,2.679411726337793,K
240,NH,N53,H129,2.1172495283263197,K
241,NH,N53,H131,2.1381167084329245,K
242,NH,N54,H98,2.8799606960326973,K
243,NH,N54,H102,3.2477795894219543,K
244,NH,N54,H126,2.751929954535876,K
245,NH,N54,H128,2.679411566467843,K
246,NH,N54,H130,2.1172494791208156,K
247,NH,N54,H132,2.1381169306858774,K
248,OH,O31,H85,2.086067648660769,K
249,OH,O31,H87,1.9954593970151542,K
250,OH,O31,H89,2.7317799567781633,K
251,OH,O31,H91,3.3670108008161823,K
252,OH,O31,H95,2.7412431447696806,K
253,OH,O31,H97,2.0628590464864494,K
254,OH,O31,H99,2.110171925706148,K
255,OH,O31,H101,2.1341911116683177,K
256,OH,O31,H111,3.409570622741635,K
257,OH,O32,H86,2.0860674332852898,K
258,OH,O32,H88,1.9954591399500605,K
259,OH,O32,H90,2.7317800599276105,K
260,OH,O32,H92,3.3670111070053306,K
261,OH,O32,H96,2.741243159714653,K
262,OH,O32,H98,2.0628590865422467,K
263,OH,O32,H100,2.1101722559036515,K
264,OH,O32,H102,2.1341912841574686,K
265,OH,O32,H112,3.409570938286834,K
266,OH,O33,H87,3.257498350172415,K
267,OH,O33,H95,2.535769200207716,K
268,OH,O34,H88,3.2574984321556246,K
269,OH,O34,H96,2.535769465848222,K
270,OH,O37,H103,2.086972459732386,K
271,OH,O37,H105,1.9917257539921969,K
272,OH,O37,H107,2.69863842450292,K
273,OH,O37,H109,3.321245200789214,K
274,OH,O37,H113,2.505356734946521,K
275,OH,O37,H115,2.118290006441304,K
276,OH,O37,H117,2.086437591221657,K
277,OH,O37,H119,2.1000456344984157,K
278,OH,O37,H131,3.106085032520569,K
